"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Konstantinov S.; Assad F.; Ahmad B.; Vera D.A.; Harrison R.","Konstantinov, Sergey (56996972200); Assad, Fadi (57205427005); Ahmad, Bilal (43561123800); Vera, Daniel A. (56378728800); Harrison, Robert (23073397000)","56996972200; 57205427005; 43561123800; 56378728800; 23073397000","Virtual Engineering and Commissioning to Support the Lifecycle of a Manufacturing Assembly System","2022","Machines","10","10","939","","","","2","10.3390/machines10100939","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140894119&doi=10.3390%2fmachines10100939&partnerID=40&md5=2825e1d46369f1d9f78e6829a3d45fbc","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85140894119"
"Müller R.K.; Großmann D.; Schmied S.; Mathias S.G.","Müller, Ralph Klaus (57216809898); Großmann, Daniel (24470918500); Schmied, Sebastian (57211500091); Mathias, Selvine G. (57211713770)","57216809898; 24470918500; 57211500091; 57211713770","Validation of dynamic interoperability and virtual commissioning of production equipment in early development stages","2020","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","2020-September","","9211988","1159","1162","3","3","10.1109/ETFA46521.2020.9211988","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093365419&doi=10.1109%2fETFA46521.2020.9211988&partnerID=40&md5=9744ffa04971daf9eb2b5c510b73886d","Conference paper","Final","","Scopus","2-s2.0-85093365419"
"Alszer S.; Krystek J.; Bysko S.","Alszer, Sara (57192170883); Krystek, Jolanta (55521423800); Bysko, Szymon (57188977864)","57192170883; 55521423800; 57188977864","Simulation and virtual commissioning for intelligent buffer control system - Case study","2018","2017 2nd International Conference on Robotics and Automation Engineering, ICRAE 2017","2017-December","","","207","211","4","6","10.1109/ICRAE.2017.8291381","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050336784&doi=10.1109%2fICRAE.2017.8291381&partnerID=40&md5=f301c23472abd53800224fa8614d10b2","Conference paper","Final","","Scopus","2-s2.0-85050336784"
"Dahl M.; Larsen C.; Eros E.; Bengtsson K.; Fabian M.; Falkman P.","Dahl, Martin (57191664151); Larsen, Christian (57211199789); Eros, Endre (57211502372); Bengtsson, Kristofer (35118719500); Fabian, Martin (7102991563); Falkman, Petter (14038613100)","57191664151; 57211199789; 57211502372; 35118719500; 7102991563; 14038613100","Interactive formal specification for efficient preparation of intelligent automation systems","2022","CIRP Journal of Manufacturing Science and Technology","38","","","129","138","9","2","10.1016/j.cirpj.2022.04.013","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129552749&doi=10.1016%2fj.cirpj.2022.04.013&partnerID=40&md5=b746b741de92d6559d507d50838af1b1","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85129552749"
"Fernández I.A.; Eguía M.A.; Echeverría L.E.","Fernández, Igor Azkarate (57211502902); Eguía, Mikel Ayani (57193080465); Echeverría, Luka Eciolaza (21742299100)","57211502902; 57193080465; 21742299100","Virtual commissioning of a robotic cell: An educational case study","2019","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","2019-September","","8869373","820","825","5","9","10.1109/ETFA.2019.8869373","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074196698&doi=10.1109%2fETFA.2019.8869373&partnerID=40&md5=08f930756c351d298d981b1921ecebe5","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85074196698"
"Martins A.; Costelha H.; Neves C.","Martins, Andre (57200076690); Costelha, Hugo (24775187600); Neves, Carlos (57213843992)","57200076690; 24775187600; 57213843992","Supporting the design, commissioning and supervision of smart factory components through their digital twin","2020","2020 IEEE International Conference on Autonomous Robot Systems and Competitions, ICARSC 2020","","","9096072","114","119","5","8","10.1109/ICARSC49921.2020.9096072","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85085933999&doi=10.1109%2fICARSC49921.2020.9096072&partnerID=40&md5=ab32afc7cd07a7a04e7e77625d6c0853","Conference paper","Final","","Scopus","2-s2.0-85085933999"
"Albo A.; Svedlund L.; Falkman P.","Albo, Anton (57201358234); Svedlund, Ludvig (57414991100); Falkman, Petter (14038613100)","57201358234; 57414991100; 14038613100","Modular Virtual Preparation method of production systems using a Digital Twin architecture","2021","IEEE International Conference on Emerging Technologies and Factory Automation, ETFA","2021-September","","","","","","2","10.1109/ETFA45728.2021.9613654","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122918707&doi=10.1109%2fETFA45728.2021.9613654&partnerID=40&md5=af136f31d25391c590549605a8685911","Conference paper","Final","","Scopus","2-s2.0-85122918707"
"Illmer B.; Vielhaber M.","Illmer, Benjamin (57195775465); Vielhaber, Michael (55133006300)","57195775465; 55133006300","Synchronizing digital process twins between virtual products and resources – A virtual design method","2019","Procedia CIRP","84","","","532","537","5","13","10.1016/j.procir.2019.04.227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076751349&doi=10.1016%2fj.procir.2019.04.227&partnerID=40&md5=4a971c9d8b495b6853d51a2fd840560e","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85076751349"
"Philippot A.; Riera B.; Kunreddy V.; Debernard S.","Philippot, Alexandre (24832062200); Riera, Bernard (6602147246); Kunreddy, Vinay (57202985318); Debernard, Serge (6602848567)","24832062200; 6602147246; 57202985318; 6602848567","Advanced tools for the control engineer in Industry 4.0","2018","Proceedings - 2018 IEEE Industrial Cyber-Physical Systems, ICPS 2018","","","","555","560","5","6","10.1109/ICPHYS.2018.8390766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85050133801&doi=10.1109%2fICPHYS.2018.8390766&partnerID=40&md5=df33a940581ea4db8599ef91f5f6f461","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85050133801"
"Schenk T.; Botero Halblaub A.; Rosen R.; Heinzerling T.; Mädler J.; Klose A.; Hensel S.; Urbas L.; Bröcker S.","Schenk, T. (57078161800); Botero Halblaub, A. (57223694974); Rosen, R. (15120164400); Heinzerling, T. (57215341512); Mädler, J. (57223401683); Klose, A. (57210799925); Hensel, S. (56406241400); Urbas, L. (6507409235); Bröcker, S. (6508269233)","57078161800; 57223694974; 15120164400; 57215341512; 57223401683; 57210799925; 56406241400; 6507409235; 6508269233","Co-simulation-based virtual commissioning for modular process plants: Requirements, framework and support-toolchain for a virtual automation testing environment","2019","VDI Berichte","2019","2351","","229","242","13","5","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105782172&partnerID=40&md5=146d51317c83f0112b77c77256fa1930","Conference paper","Final","","Scopus","2-s2.0-85105782172"
"Galkin N.; Yang C.-W.; Vyatkin V.","Galkin, Nikolai (57202988273); Yang, Chen-Wei (56288733800); Vyatkin, Valeriy (23092497000)","57202988273; 56288733800; 23092497000","Automatic Generation of Charging Point's Digital Twin for Virtual Commissioning of Their Automation Systems","2023","IEEE Open Journal of the Industrial Electronics Society","4","","","14","26","12","0","10.1109/OJIES.2022.3230214","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146236310&doi=10.1109%2fOJIES.2022.3230214&partnerID=40&md5=ca10271f2a0775bc0ea3dc9393bb41cf","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85146236310"
"Illmer B.; Karkowski M.; Vielhaber M.","Illmer, Benjamin (57195775465); Karkowski, Martin (57203369500); Vielhaber, Michael (55133006300)","57195775465; 57203369500; 55133006300","Petri net controlled virtual commissioning - A virtual design-loop approach","2020","Procedia CIRP","91","","","152","157","5","4","10.1016/j.procir.2020.02.162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091693032&doi=10.1016%2fj.procir.2020.02.162&partnerID=40&md5=eafa83127ae91bf1cadb313c33a7e145","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85091693032"
