"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Concept For An Interoperable Behavior Library For Virtual Commissioning Using PLCopenXML","M. Dietz; J. Sippl; R. Schmidt-Vollus","Automation Department, Nuremberg Campus of Technology, Nuremberg, Germany; Automation Department, Nuremberg Campus of Technology, Nuremberg, Germany; Automation Department, Nuremberg Campus of Technology, Nuremberg, Germany","2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","17 Oct 2019","2019","","","1433","1436","A shorter product life cycle and therefore, reduced project duration is the major success factor for machinery and plant engineering today. One use case for Virtual Commissioning (VC) is the early software test without an existing plant. The primary effort of VC lies in the manual creation of the plant model. There are various simulation tools with different advantages available. Selecting one tool has consequences for the whole engineering process. The exchange of models across different tools is not possible or discouraged by the respective vendors due to various reasons. This paper describes a concept to exchange behavior models via the table-based import interfaces for an automated model generation within common simulation tools. The concept utilizes an approach to exchange the behavior of components using the vendor-neutral and standardized programming language PLCopenXML containing all IEC 61131-3 programming languages. This removes the main obstacle for a broader industrial application of VC, as it minimizes the manual effort for creating and exchanging behavior models through the use of standardized library elements and existing interfaces.","1946-0759","978-1-7281-0303-7","10.1109/ETFA.2019.8869070","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869070","Automation;Virtual Commissioning;Digital twin;Behavioral models;Model exchange;Interoperability","Libraries;Solid modeling;Object oriented modeling;Mathematical model;Tools;Computational modeling;Software","computer simulation;control engineering computing;IEC standards;open systems;production engineering computing;program testing;programmable controllers;XML","interoperable behavior library;virtual commissioning;product life cycle;reduced project duration;machinery;plant engineering;early software test;manual creation;plant model;engineering process;behavior models;table-based import interfaces;automated model generation;simulation tools;IEC 61131-3 programming languages;standardized library elements;standardized programming language;PLCopenXML;vendor-neutral programming language","","3","","7","IEEE","17 Oct 2019","","","IEEE","IEEE Conferences"
"Validation of dynamic interoperability and virtual commissioning of production equipment in early development stages","R. K. Müller; D. Großmann; S. Schmied; S. G. Mathias","Zentrum fur Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany; Zentrum fur Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany; Zentrum fur Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany; Zentrum fur Angewandte Forschung, Technische Hochschule Ingolstadt, Ingolstadt, Germany","2020 25th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","5 Oct 2020","2020","1","","1159","1162","Virtual Commissioning is an important part of modern design engineering approaches. Early simulation models of newly developed production structures can help to elaborate and evaluate different ideas concerning new processes. The machine communication is an important part of this evaluation. Currently the focus is on different approaches like CPS, IIoT and the overall crosslinking in Industry 4.0 implementations. In many of these cases the functional static behaviour of the communication interface is checked in later phases of the development process and not in a dynamical aspect, although it is useful to understand it early to draw conclusions for the proceeding project. This paper shows an early simple approach for checking the dynamical interoperability between the different automation levels in a production environment by adapting known Virtual Commissioning methods to a broader view.","1946-0759","978-1-7281-8956-7","10.1109/ETFA46521.2020.9211988","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9211988","Virtual Commissioning;Information Model;Cyber Physical System;Digital Twin;Machine Communication;Design Engineering Process","Design engineering;Adaptation models;Conferences;Production equipment;Fourth Industrial Revolution;Interoperability;Manufacturing automation","business data processing;control engineering computing;design engineering;factory automation;manufacturing systems;open systems;production engineering computing;production equipment;virtual manufacturing;virtualisation","virtual commissioning methods;functional static behaviour;machine communication;production structures;simulation models;modern design engineering approaches;early development stages;production equipment;dynamic interoperability;production environment;automation levels;dynamical interoperability;early simple approach;dynamical aspect;communication interface","","3","","11","IEEE","5 Oct 2020","","","IEEE","IEEE Conferences"
"Virtual Commissioning Approach based on the Discrete Element Method","F. Westbrink; A. Schwung","Department of Automation Technology, South Westphalia University of Applied Sciences, Soest, Germany; Department of Automation Technology, South Westphalia University of Applied Sciences, Soest, Germany","2018 IEEE 16th International Conference on Industrial Informatics (INDIN)","27 Sep 2018","2018","","","424","429","This paper presents a novel virtual commissioning approach based on the Discrete Element Method. To save costs and reduce time at the commissioning phase, this technique offers a suitable tool to model complex behaviour of bulk material handling. This proposed approach of virtual commissioning is used for validating existing software code and solve an optimisation problem, which yields to an optimal throughput of a bulk good handling process by only using the simulated hardware representation. Due to that, this work shows the complete framework to apply the Discrete Element Method as a hardware-in-the-loop system for virtual commissioning. The steps from the design of mechanical parts, the model of the bulk good material as well as the communication structure is proposed. The whole approach is compared with a conventional hardware-in-the-loop system regarding the required engineering efforts in different disciplines. It is pointed out that the novel approach of a virtual commissioning based on Discrete Element Method is a highly useful tool beyond the functionalities of common virtual commissioning approaches.","2378-363X","978-1-5386-4829-2","10.1109/INDIN.2018.8471954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8471954","Virtual Commissioning;Discrete Element Method;Hardware-in-the-loop;Bulk Good Laboratory Plant","Solid modeling;Load modeling;Finite element analysis;Automation;Tools;Software;Industries","cost reduction;design engineering;discrete element method;hardware-in-the loop simulation;materials handling;optimisation;production engineering computing","bulk material handling;bulk good handling process;discrete element method;virtual commissioning approach;cost saving;software code;optimisation problem;simulated hardware representation;hardware-in-the-loop system;mechanical parts design","","2","","19","IEEE","27 Sep 2018","","","IEEE","IEEE Conferences"
"Advanced tools for the control engineer in Industry 4.0","A. Philippot; B. Riera; V. Kunreddy; S. Debernard","CReSTIC (EA3804), University of Reims Champagne-Ardenne, Reims, France; CReSTIC (EA3804), University of Reims Champagne-Ardenne, Reims, France; LAMIH-Laboratoire d'Automatique de Mécanique et d'Informatique Industrielles et Humaines, Univ. Valenciennes, CNRS, UMR 8201, Valenciennes, France; LAMIH-Laboratoire d'Automatique de Mécanique et d'Informatique Industrielles et Humaines, Univ. Valenciennes, CNRS, UMR 8201, Valenciennes, France","2018 IEEE Industrial Cyber-Physical Systems (ICPS)","21 Jun 2018","2018","","","555","560","To make Industry 4.0 a success, it is necessary to take into account the human component. To design safe controllers, engineers must dispose innovative and human adapted methodologies. The paper proposes two advanced powerful tools (Model-Checking and Virtual Commissioning) which could modify the work of the automatic control engineers in the future. Model-Checking is used as an off-line verification of structural properties of a controller specification. Virtual Commissioning is used on-line to test the functional part.","","978-1-5386-6531-2","10.1109/ICPHYS.2018.8390766","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8390766","Model-Checking;Virtual Commissioning;Programmable Logic Controller;Industry 4.0","Unified modeling language;Tools;Industries;Adaptation models;Production facilities;Safety;Training","control engineering computing;design engineering;formal verification;industrial control;production engineering computing;programmable controllers;virtual reality","advanced tools;innovative adapted methodologies;human adapted methodologies;automatic control engineers;off-line verification;virtual commissioning;Industry 4.0;safe controllers design;model-checking","","5","","13","IEEE","21 Jun 2018","","","IEEE","IEEE Conferences"
"Integrated virtual commissioning of a ROS2-based collaborative and intelligent automation system","E. Erős; M. Dahl; A. Hanna; A. Albo; P. Falkman; K. Bengtsson","Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden; Research & Technology Development, Volvo Group Trucks Operation, Gothenburg, Sweden; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden; Department of Electrical Engineering, Chalmers University of Technology, Gothenburg, Sweden","2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","17 Oct 2019","2019","","","407","413","In order to adapt to stricter system delivery and integration requirements, virtual commissioning (VC) has become a well adopted practice in industry. VC is getting increasingly integrated into the overall engineering process, where the control software is continuously tested with the virtual plant model. At the same time, collaborative and intelligent automation systems are becoming an important part of modern industries. In these complex systems, humans perform operations together with collaborative robots, intelligent machines and smart tools. However, performing VC of such complex, distributed and heterogeneous systems demands new ways of interfacing different hardware and software components. This paper discusses the requirements, process and results of integrated virtual commissioning of an industrial collaborative and intelligent automation system use-case. Moreover, this industrial use-case illustrates challenges and exemplifies the need to use the next generation Robot Operating System (ROS2) due to its robust communication layer as well as easy integration with smart devices and algorithms.","1946-0759","978-1-7281-0303-7","10.1109/ETFA.2019.8869444","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869444","virtual commissioning;robot operating system;factory automation;control and communication architecture;intelligent automation;collaborative robot systems;human-in-the-loop","Robots;Collaboration;Control systems;Automation;Engines;Solid modeling;Tools","control engineering computing;mobile robots;multi-robot systems;production engineering computing;robot programming;software tools","virtual plant model;collaborative automation systems;intelligent automation systems;collaborative robots;intelligent machines;hardware components;software components;integrated virtual commissioning;intelligent automation system use-case;ROS2;system delivery;integration requirements;engineering process;control software;robot operating system;industrial use case;industrial collaborative automation systems;distributed systems demands;complex systems demands;smart tools;smart devices;robust communication layer","","11","","28","IEEE","17 Oct 2019","","","IEEE","IEEE Conferences"
"Improving interoperability of Virtual Commissioning toolchains by using OPC-UA-based technologies","R. B. Hill; J. Delbos; S. Trebosc; J. Tsague; G. Feroldi; J. Martin; T. Master; N. Lassabe","Capgemini Engineering, France; Capgemini Engineering, France; Capgemini Engineering, France; Capgemini Engineering, France; Capgemini Engineering, France; Capgemini Engineering, France; Capgemini Engineering, France; Capgemini Engineering, France","2021 26th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA )","30 Nov 2021","2021","","","01","07","It is well-known that one the most important challenges in industrial manufacturing processes is the reduction of lead-times and delays during the on-site commissioning. In applications in which several automation systems are used, such as in aeronautics or automotive manufacturing cells, several PLC's and drives are used to control the motion of the different electromechanical components. In order to verify and validate (V&V) automation code before deployment in the production environment, virtual commissioning (VC) techniques have become of great interest in the last decades. Even if VC simulation approaches, based on software/hardware-in-the-loop (SiL, HiL), have shown effectiveness to V&V automation code, the continuity from the execution to the simulation layers may not be ensured due to a lack of interoperability in the toolchain. Additionally, the development of reliable component models is a complex task of the VC solution since it requires a high level of mechatronics expertise. In order to avoid losing information between the execution and the simulation layers of VC toolchains, this paper presents a SiL based approach for interconnecting the PLC's with the VC simulation tool by means of OPC-UA-based technologies. In addition, in order to develop the functional models, we propose a library-based development. This will facilitate seamless flow of information between different PLC editors and the simulation layer. SiL simulations of the suggested approach on an automotive manufacturing cell are performed and show digital continuity from the execution to the simulation layer.","","978-1-7281-2989-1","10.1109/ETFA45728.2021.9613490","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9613490","virtual commissioning;interoperability;OPC UA;PLC","Codes;Simulation;Semantics;Tools;Manufacturing;Servers;Reliability","automobile manufacture;control engineering computing;delays;hardware-in-the-loop simulation;lead time reduction;mechatronics;motion control;open systems;production engineering computing;programmable controllers;virtual manufacturing","lead-time reduction;on-site commissioning;automotive manufacturing cell;electromechanical components;SiL based approach;VC simulation tool;OPC-UA-based technologies;library-based development;interoperability;industrial manufacturing processes;virtual commissioning toolchains;verify and validate automation code;software-in-the-loop;hardware-in-the-loop;PLC;motion control;mechatronics;HiL","","","","14","EU","30 Nov 2021","","","IEEE","IEEE Conferences"
"Virtual commissioning of a robotic cell: an educational case study","I. A. Fernández; M. A. Eguía; L. E. Echeverría","Dept. of Electronics and Computing, Mondragon Unibertsitatea, Arrasate-Mondragón, Spain; School of Engineering Science, Högskolan i Skövde, Skövde, Sweden; Dept. of Electronics and Computing, Mondragon Unibertsitatea, Arrasate-Mondragón, Spain","2019 24th IEEE International Conference on Emerging Technologies and Factory Automation (ETFA)","17 Oct 2019","2019","","","820","825","The emergence of software tools for testing control programs and virtual commissioning (VC) in industrial automation projects makes it possible to shorten lead times and improve product quality, but it also brings to light the need for competent technicians in these technologies. The academic environment can support the education of future professionals by reproducing and solving industrial problems in the classroom. This article presents a use case in which students work on a project to develop and validate the control system of a robotic cell. The study compares the conventional way of working against the use of a digital twin and exposes the benefits of it.","1946-0759","978-1-7281-0303-7","10.1109/ETFA.2019.8869373","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8869373","Automation;digital twin;education;emulation;modelling;virtual commissioning","Software;Robot kinematics;Emulation;Tools;Service robots;Process control","computer aided instruction;control engineering computing;mobile robots;production engineering computing;program testing;software tools","academic environment;industrial problems;robotic cell;virtual commissioning;educational case study;software tools;industrial automation projects;product quality;control program testing","","5","","11","IEEE","17 Oct 2019","","","IEEE","IEEE Conferences"
"Towards cloud-based virtual commissioning of distributed automation applications with IEC 61499 and containerization technology","T. Lyu; U. Dwi Atmojo; V. Vyatkin","Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland; Department of Electrical Engineering and Automation, Aalto University, Espoo, Finland","IECON 2021 – 47th Annual Conference of the IEEE Industrial Electronics Society","10 Nov 2021","2021","","","1","7","The need of manufacturing industries to adapt to the demand from customers and the volatile market drives the need for digitalization to realize the so-called smart factory. Smart factory, Compared to traditional factories, smart factory needs to possess high flexibility and stability and often has to employ digital twin. Compared to IEC 61131-3 standard used in traditional industrial production, IEC 61499 standard can bring more advantages to meet the realization of Smart Factory, such as flexibility, distribution and event-driven execution. In this paper, we propose a new Virtual Commissioning (VC) architecture for IEC 61499-based control applications. We build an online collaborative VC platform with the help of cloud computing and containerization technologies. Furthermore, we discuss and propose the utilization of soft-PLC containers from different vendors to meet users’ commissioning requirements for different hardware configurations. Compared with the traditional offline single-person debugging method, our proposed architecture can improve the flexibility, collaboration and efficiency of control software debugging in a more interactive and collaborative style via the online platform we implemented.","2577-1647","978-1-6654-3554-3","10.1109/IECON48115.2021.9589945","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9589945","IEC 61499;containerization;web;cloud computing;distributed control application","Manufacturing industries;Industrial electronics;Cloud computing;Collaboration;Computer architecture;Production facilities;IEC Standards","cloud computing;control engineering computing;factory automation;IEC standards;industrial economics;manufacturing industries;production engineering computing;production facilities;programmable controllers;software architecture","cloud-based virtual commissioning;distributed automation applications;smart factory;traditional factories;IEC 61131-3 standard;traditional industrial production;IEC 61499 standard;IEC 61499-based control applications;cloud computing;containerization technologies;virtual commissioning architecture;manufacturing industries;customers demand;volatile market;digitalization;digital twin;event-driven execution;online collaborative VC platform;soft-PLC containers;hardware configurations;control software debugging","","4","","19","IEEE","10 Nov 2021","","","IEEE","IEEE Conferences"
"Real-time simulation and virtual commissioning of a modular robot system with OPC UA","R. Reiser; B. Thiele; T. Bellmann; P. Koch; C. Walter",NA; NA; NA; NA; NA,"ISR Europe 2022; 54th International Symposium on Robotics","19 Aug 2022","2022","","","1","8","The aerospace industry has an ever-increasing demand for automation, in order to reduce costs and increase production capacity. High costs for commissioning and the use of systems specialized for specific tasks are some of the biggest challenges. Hence modular systems and methods for the virtual commissioning of such are required. We present a new solution for the virtual commissioning of modular systems including detailed physical behavior models. This approach combines the object-oriented multi-domain modeling language Modelica with real-time robot simulation, real-time visualization, contact dynamics and OPC UA technology. It enables the simulation of the system on multiple levels of detail, from the kinematics of the mobile platform to the programming of the robot with G-code up to the forces of the drill process in detail. Our use case is a mobile robot system performing drilling operations on a vertical tail plane shell of an airplane. The system consists of the modules platform, navigation, robot, precision, and drill. A central, high-level controller is used to orchestrate the processes of the modules both for the real and the virtual hardware. The exchangeability between real modules and their virtual counterparts becomes possible due to uniform OPC-UA-based interfaces.","","978-3-8007-5891-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9861797","","","","","","","","","","19 Aug 2022","","","VDE","VDE Conferences"
"Standardized Framework for Evaluating Centralized and Decentralized Control Systems in Modular Assembly Systems","S. Mayer; C. Arnet; D. Gankin; C. Endisch","Technische Hochschule Ingolstadt, Institute for Innovative Mobility, Ingolstadt, Germany; Department of Production Engineering, KTH Royal Institute of Technology, Stockholm, Sweden; Department of Informatics, Technische Universität München, München, Germany; Technische Hochschule Ingolstadt, Institute for Innovative Mobility, Ingolstadt, Germany","2019 IEEE International Conference on Systems, Man and Cybernetics (SMC)","28 Nov 2019","2019","","","113","119","Addressing the need for more flexible modular assembly systems due to an increasing number of product variants, industry utilizes the capabilities of cyber-physical production systems, where automated guided vehicles handle the transport of materials. Such systems require complex control algorithms managing the given flexibility and coordinating the cyber-physical entities. Control algorithms can be organized either in a centralized or decentralized manner. For the development and the performance evaluation of both types of algorithms, no standardized framework exists using the same boundary conditions. Following the principles of virtual commissioning, this work presents a framework composed of three elements: a simulation model representing a modular assembly system, a multi-agent system incorporating centralized or decentralized control logic, and an interface for data-exchange. The framework has been successfully validated implementing a centralized approach, where the system followed a global schedule and a decentralized approach, where a bidding-based agent-system controlled the production flow.","2577-1655","978-1-7281-4569-3","10.1109/SMC.2019.8914314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8914314","virtual commissioning;cyber-physical production system;digital manufacturing;scheduling;production control;multi-agent system;modular assembly system.","Workstations;Assembly systems;Control systems;Schedules;Job shop scheduling","assembling;automatic guided vehicles;decentralised control;multi-agent systems","modular assembly system;multiagent system;decentralized control logic;bidding-based agent-system;decentralized control systems;flexible modular assembly systems;cyber-physical production systems;automated guided vehicles;complex control algorithms;performance evaluation","","7","","31","IEEE","28 Nov 2019","","","IEEE","IEEE Conferences"
